"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"eDNA_11"	0.015	0.016	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.014	0.015	0.015	0.014	0.014	0.015	0.015	0.014	0.015	0.014	0.015	0.014	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.014	0.015	0.015	0.014	0.015	0.015	0.014	0.014	0.014	0.014	0.015	0.015	0.014	0.014	0.015	0.015	0.014	0.015	0.015	0.015	0.014	0.015	0.015	0.016	0.015	0.015	0.016	0.015	0.015	0.014	0.014	0.015	0.015	0.014	0.015	0.016	0.015	0.015	0.015	0.015	0.015	0.014	0.014	0.015	0.015	0.014	0.014	0.014	0.014	0.016	0.015	0.014	0.015	0.014	0.015	0.015	0.015	0.015	0.014	0.014	0.015	0.015	0.014	0.015	0.015	0.014	0.014	0.015	0.015	0.015	0.015
"eDNA_12"	0.029	0.027	0.028	0.029	0.03	0.029	0.028	0.028	0.027	0.029	0.028	0.028	0.028	0.03	0.028	0.028	0.029	0.027	0.027	0.027	0.029	0.028	0.029	0.027	0.027	0.029	0.028	0.029	0.028	0.029	0.028	0.027	0.028	0.027	0.028	0.029	0.028	0.028	0.027	0.028	0.028	0.029	0.029	0.029	0.028	0.028	0.028	0.029	0.027	0.027	0.027	0.028	0.029	0.028	0.028	0.028	0.027	0.027	0.029	0.028	0.029	0.028	0.028	0.028	0.028	0.027	0.029	0.029	0.028	0.028	0.028	0.028	0.028	0.027	0.028	0.028	0.028	0.028	0.028	0.027	0.028	0.029	0.028	0.028	0.029	0.028	0.028	0.028	0.029	0.027	0.029	0.028	0.028	0.028	0.029	0.028	0.029	0.027	0.029	0.028
"eDNA_13"	0.026	0.027	0.026	0.027	0.026	0.027	0.026	0.025	0.026	0.027	0.027	0.026	0.026	0.026	0.027	0.026	0.026	0.027	0.026	0.025	0.026	0.026	0.026	0.026	0.026	0.026	0.027	0.026	0.026	0.026	0.027	0.026	0.027	0.025	0.025	0.026	0.025	0.026	0.027	0.027	0.026	0.027	0.027	0.025	0.026	0.027	0.026	0.027	0.026	0.025	0.027	0.027	0.026	0.026	0.026	0.026	0.027	0.027	0.025	0.026	0.026	0.025	0.025	0.027	0.027	0.027	0.026	0.026	0.027	0.026	0.027	0.026	0.026	0.027	0.026	0.027	0.027	0.026	0.026	0.026	0.026	0.026	0.027	0.026	0.026	0.026	0.026	0.026	0.026	0.026	0.026	0.026	0.026	0.026	0.026	0.025	0.027	0.026	0.025	0.027
"eDNA_14"	0.03	0.03	0.031	0.03	0.03	0.03	0.031	0.03	0.03	0.03	0.029	0.03	0.03	0.031	0.029	0.03	0.03	0.03	0.03	0.031	0.031	0.03	0.029	0.029	0.03	0.031	0.03	0.03	0.03	0.032	0.029	0.03	0.029	0.03	0.03	0.03	0.031	0.03	0.03	0.03	0.03	0.031	0.031	0.031	0.03	0.03	0.03	0.029	0.03	0.031	0.03	0.03	0.03	0.03	0.03	0.031	0.03	0.031	0.029	0.031	0.031	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.03	0.029	0.029	0.03	0.031	0.029	0.03	0.029	0.03	0.03	0.03	0.031	0.031	0.03	0.031	0.031	0.031	0.029	0.03	0.029	0.031	0.03	0.03	0.03	0.03	0.029	0.03	0.03
"eDNA_15"	0.031	0.031	0.031	0.03	0.031	0.031	0.031	0.03	0.031	0.03	0.032	0.031	0.031	0.032	0.032	0.031	0.032	0.03	0.031	0.031	0.032	0.032	0.031	0.031	0.032	0.031	0.032	0.031	0.031	0.032	0.031	0.03	0.031	0.032	0.032	0.031	0.032	0.031	0.031	0.031	0.032	0.032	0.033	0.031	0.031	0.031	0.031	0.031	0.031	0.031	0.032	0.032	0.03	0.032	0.031	0.032	0.032	0.031	0.031	0.032	0.032	0.032	0.031	0.031	0.031	0.032	0.031	0.031	0.032	0.031	0.032	0.031	0.031	0.031	0.031	0.032	0.032	0.031	0.031	0.031	0.031	0.032	0.031	0.031	0.033	0.031	0.033	0.032	0.031	0.032	0.031	0.032	0.031	0.032	0.03	0.032	0.032	0.031	0.031	0.032
"eDNA_16"	0.026	0.027	0.026	0.026	0.026	0.027	0.027	0.026	0.026	0.027	0.027	0.026	0.026	0.027	0.026	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.026	0.026	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.027	0.026	0.027	0.027	0.026	0.026	0.026	0.027	0.027	0.027	0.027	0.026	0.026	0.026	0.026	0.027	0.027	0.027	0.026	0.027	0.027	0.027	0.026	0.027	0.027	0.027	0.027	0.027	0.027	0.026	0.027	0.026	0.027	0.027	0.028	0.026	0.027	0.027	0.026	0.027	0.026	0.027	0.026	0.027	0.027	0.027	0.026	0.026	0.027	0.027	0.028	0.027	0.028	0.027	0.027	0.026	0.026	0.027	0.027	0.026	0.027	0.026	0.026	0.027	0.026	0.027	0.027	0.027
"eDNA_17"	0.078	0.081	0.079	0.079	0.078	0.079	0.08	0.076	0.078	0.077	0.077	0.079	0.078	0.078	0.079	0.081	0.08	0.078	0.08	0.078	0.077	0.079	0.078	0.079	0.079	0.077	0.08	0.078	0.079	0.081	0.08	0.078	0.077	0.08	0.078	0.08	0.077	0.077	0.08	0.079	0.078	0.077	0.076	0.08	0.079	0.077	0.079	0.08	0.077	0.079	0.08	0.078	0.076	0.08	0.077	0.078	0.08	0.08	0.077	0.078	0.08	0.079	0.079	0.078	0.076	0.078	0.078	0.08	0.08	0.079	0.079	0.079	0.077	0.078	0.079	0.078	0.08	0.079	0.08	0.076	0.08	0.077	0.08	0.08	0.079	0.079	0.082	0.081	0.078	0.079	0.079	0.077	0.078	0.08	0.078	0.079	0.078	0.077	0.078	0.08
"eDNA_18"	0.07	0.066	0.067	0.068	0.066	0.069	0.067	0.067	0.069	0.069	0.069	0.068	0.068	0.068	0.068	0.068	0.068	0.068	0.066	0.069	0.068	0.068	0.068	0.068	0.069	0.068	0.068	0.068	0.071	0.068	0.069	0.069	0.068	0.067	0.071	0.069	0.069	0.069	0.066	0.069	0.069	0.068	0.068	0.069	0.066	0.068	0.067	0.069	0.067	0.069	0.068	0.067	0.069	0.068	0.07	0.068	0.07	0.069	0.067	0.068	0.067	0.07	0.067	0.069	0.068	0.069	0.069	0.069	0.071	0.068	0.07	0.068	0.068	0.068	0.069	0.068	0.071	0.069	0.069	0.069	0.068	0.068	0.068	0.066	0.066	0.068	0.068	0.067	0.067	0.069	0.068	0.069	0.069	0.068	0.068	0.069	0.068	0.068	0.069	0.069
"eDNA_19"	0.025	0.025	0.025	0.025	0.024	0.025	0.025	0.025	0.025	0.026	0.024	0.024	0.025	0.024	0.025	0.025	0.025	0.025	0.025	0.026	0.025	0.025	0.024	0.025	0.025	0.025	0.025	0.025	0.025	0.025	0.026	0.024	0.025	0.024	0.025	0.024	0.025	0.026	0.025	0.026	0.024	0.025	0.025	0.025	0.026	0.025	0.024	0.025	0.026	0.026	0.025	0.026	0.025	0.026	0.025	0.025	0.025	0.025	0.024	0.025	0.024	0.025	0.025	0.025	0.025	0.026	0.025	0.025	0.025	0.025	0.025	0.025	0.027	0.025	0.025	0.024	0.026	0.025	0.025	0.025	0.025	0.026	0.026	0.026	0.025	0.025	0.025	0.026	0.025	0.026	0.025	0.024	0.025	0.026	0.025	0.024	0.025	0.025	0.025	0.025
"eDNA_20"	0.069	0.069	0.068	0.071	0.07	0.07	0.073	0.07	0.069	0.069	0.069	0.07	0.07	0.07	0.072	0.07	0.068	0.068	0.068	0.068	0.068	0.07	0.07	0.071	0.07	0.067	0.072	0.071	0.069	0.068	0.069	0.068	0.07	0.071	0.07	0.07	0.069	0.067	0.072	0.071	0.07	0.068	0.071	0.071	0.068	0.069	0.069	0.07	0.067	0.07	0.068	0.07	0.069	0.069	0.07	0.071	0.07	0.069	0.069	0.07	0.068	0.072	0.07	0.069	0.072	0.069	0.07	0.069	0.07	0.07	0.07	0.068	0.071	0.069	0.071	0.071	0.071	0.07	0.07	0.071	0.07	0.072	0.072	0.071	0.066	0.07	0.073	0.068	0.069	0.068	0.071	0.071	0.068	0.07	0.072	0.07	0.069	0.068	0.072	0.068
"eDNA_21"	0.024	0.025	0.024	0.024	0.024	0.025	0.025	0.024	0.024	0.025	0.024	0.024	0.024	0.024	0.024	0.025	0.024	0.024	0.024	0.024	0.025	0.024	0.024	0.024	0.024	0.024	0.024	0.025	0.024	0.024	0.025	0.024	0.025	0.024	0.024	0.025	0.024	0.025	0.024	0.024	0.025	0.024	0.024	0.025	0.024	0.026	0.024	0.025	0.025	0.025	0.024	0.024	0.024	0.024	0.025	0.024	0.024	0.024	0.024	0.024	0.024	0.025	0.024	0.024	0.024	0.025	0.024	0.024	0.024	0.025	0.025	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.025	0.024	0.024	0.025	0.025	0.024	0.025	0.023	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.024	0.025
"eDNA_22"	0.106	0.103	0.102	0.1	0.107	0.107	0.107	0.103	0.104	0.105	0.104	0.105	0.102	0.104	0.103	0.102	0.103	0.103	0.103	0.104	0.106	0.104	0.102	0.105	0.103	0.102	0.106	0.104	0.101	0.102	0.103	0.102	0.102	0.098	0.101	0.107	0.109	0.105	0.106	0.105	0.105	0.101	0.103	0.104	0.103	0.105	0.108	0.103	0.103	0.1	0.108	0.105	0.103	0.106	0.105	0.103	0.102	0.103	0.098	0.104	0.102	0.103	0.104	0.105	0.102	0.104	0.1	0.106	0.105	0.104	0.101	0.108	0.107	0.107	0.102	0.102	0.106	0.106	0.104	0.104	0.1	0.104	0.107	0.103	0.103	0.108	0.108	0.107	0.106	0.103	0.103	0.104	0.102	0.104	0.108	0.104	0.107	0.105	0.107	0.106
"eDNA_23"	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009	0.009
"eDNA_24"	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.006	0.006	0.006	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.006	0.007	0.007	0.007	0.006	0.007	0.007	0.006	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007	0.007
"eDNA_25"	0.054	0.056	0.054	0.054	0.054	0.055	0.055	0.054	0.055	0.055	0.055	0.054	0.054	0.054	0.055	0.055	0.053	0.055	0.054	0.055	0.054	0.057	0.054	0.056	0.054	0.054	0.054	0.054	0.054	0.054	0.055	0.056	0.057	0.055	0.054	0.055	0.055	0.053	0.054	0.054	0.055	0.054	0.054	0.053	0.054	0.055	0.056	0.055	0.053	0.054	0.054	0.055	0.055	0.054	0.054	0.055	0.055	0.054	0.054	0.055	0.054	0.054	0.053	0.055	0.053	0.054	0.055	0.053	0.055	0.056	0.056	0.055	0.055	0.053	0.054	0.054	0.055	0.054	0.054	0.054	0.054	0.056	0.054	0.054	0.055	0.054	0.056	0.054	0.054	0.055	0.053	0.056	0.055	0.055	0.055	0.055	0.053	0.055	0.056	0.055
"eDNA_26"	0.018	0.018	0.018	0.017	0.018	0.017	0.018	0.017	0.017	0.018	0.017	0.018	0.017	0.019	0.018	0.016	0.018	0.018	0.018	0.019	0.019	0.018	0.018	0.018	0.018	0.018	0.017	0.018	0.017	0.018	0.019	0.017	0.017	0.017	0.018	0.017	0.018	0.018	0.018	0.018	0.018	0.017	0.018	0.017	0.017	0.017	0.018	0.018	0.017	0.018	0.018	0.017	0.018	0.018	0.018	0.018	0.017	0.017	0.018	0.018	0.018	0.017	0.017	0.018	0.019	0.018	0.018	0.017	0.018	0.018	0.018	0.018	0.018	0.018	0.017	0.017	0.018	0.017	0.017	0.017	0.018	0.018	0.017	0.018	0.017	0.017	0.018	0.017	0.018	0.017	0.018	0.017	0.019	0.018	0.018	0.019	0.018	0.017	0.017	0.018
"eDNA_27"	0.014	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.015	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.014	0.014	0.015	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.013	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014	0.014
"eDNA_28"	0.01	0.01	0.009	0.009	0.01	0.009	0.009	0.01	0.01	0.009	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.009	0.01	0.01	0.01	0.01	0.01	0.01	0.009	0.009	0.01	0.01	0.009	0.01	0.01	0.009	0.009	0.01	0.01	0.009	0.009	0.01	0.01	0.009	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.009	0.01	0.01	0.01	0.01	0.009	0.01	0.009	0.009	0.01	0.01	0.009	0.009	0.01	0.01	0.009	0.01	0.009	0.01	0.009	0.01	0.009	0.01	0.009	0.01	0.01	0.009	0.01	0.01	0.01	0.01	0.01	0.009	0.009	0.01	0.01	0.009	0.01	0.01	0.01	0.009	0.009	0.01	0.009	0.01	0.01	0.01	0.01	0.01	0.01	0.009
"eDNA_29"	0.05	0.047	0.047	0.048	0.048	0.048	0.049	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.048	0.049	0.047	0.049	0.05	0.048	0.05	0.048	0.048	0.047	0.047	0.05	0.048	0.047	0.049	0.048	0.049	0.048	0.049	0.049	0.048	0.05	0.05	0.049	0.048	0.048	0.048	0.049	0.049	0.049	0.049	0.049	0.048	0.048	0.049	0.049	0.047	0.048	0.049	0.047	0.048	0.047	0.048	0.047	0.048	0.048	0.048	0.049	0.049	0.048	0.048	0.048	0.049	0.049	0.05	0.048	0.048	0.048	0.049	0.048	0.049	0.048	0.049	0.048	0.049	0.05	0.048	0.048	0.047	0.05	0.049	0.05	0.048	0.048	0.05	0.048	0.05	0.048	0.048	0.049	0.047
"eDNA_30"	0.045	0.045	0.045	0.046	0.047	0.045	0.046	0.047	0.045	0.046	0.046	0.046	0.044	0.047	0.047	0.046	0.045	0.045	0.047	0.046	0.048	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.047	0.046	0.047	0.047	0.046	0.046	0.046	0.046	0.048	0.044	0.045	0.046	0.046	0.045	0.048	0.046	0.046	0.046	0.046	0.046	0.047	0.046	0.046	0.045	0.045	0.046	0.047	0.047	0.047	0.046	0.046	0.046	0.046	0.045	0.046	0.046	0.045	0.047	0.046	0.047	0.044	0.047	0.045	0.045	0.047	0.046	0.046	0.045	0.046	0.046	0.045	0.046	0.047	0.046	0.046	0.047	0.047	0.045	0.046	0.046	0.045	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.046	0.044	0.045	0.046
"eDNA_31"	0.063	0.062	0.061	0.063	0.062	0.06	0.062	0.062	0.058	0.061	0.061	0.061	0.062	0.063	0.062	0.062	0.062	0.063	0.063	0.062	0.061	0.06	0.061	0.062	0.061	0.063	0.061	0.063	0.061	0.06	0.06	0.061	0.062	0.062	0.062	0.061	0.061	0.062	0.062	0.062	0.06	0.062	0.062	0.06	0.061	0.06	0.061	0.063	0.062	0.061	0.061	0.062	0.063	0.062	0.061	0.061	0.063	0.061	0.063	0.06	0.061	0.063	0.061	0.063	0.064	0.063	0.063	0.063	0.061	0.062	0.063	0.06	0.064	0.061	0.062	0.062	0.064	0.062	0.063	0.061	0.062	0.063	0.06	0.063	0.061	0.062	0.062	0.062	0.061	0.061	0.062	0.061	0.061	0.061	0.063	0.061	0.061	0.06	0.062	0.061
